0.5670083799761115 {'batch_size': 256, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.025, 0, 0, 0, 0], 'epochs': 100, 'layers': [256, 128, 64, 32, 16], 'learning_rate': 0.0005, 'verbose': 0}
0.4650404086704299 {'batch_size': 1024, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.025, 0, 0, 0, 0], 'epochs': 100, 'layers': [256, 128, 64, 32, 16], 'learning_rate': 0.0001, 'verbose': 0}
0.46199222211151286 {'batch_size': 1024, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.4, 0.3, 0.2, 0, 0], 'epochs': 100, 'layers': [256, 128, 64, 32, 16], 'learning_rate': 0.0005, 'verbose': 0}
0.459616677278483 {'batch_size': 256, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.05, 0, 0, 0, 0], 'epochs': 100, 'layers': [128, 64, 32, 16, 8], 'learning_rate': 0.0005, 'verbose': 0}
0.45027322215668064 {'batch_size': 512, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.025, 0, 0, 0, 0], 'epochs': 100, 'layers': [128, 64, 32, 16, 8], 'learning_rate': 0.0001, 'verbose': 0}
0.44698248770974375 {'batch_size': 512, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.025, 0, 0, 0, 0], 'epochs': 100, 'layers': [256, 128, 64, 32, 16], 'learning_rate': 0.0001, 'verbose': 0}
0.44418459425815915 {'batch_size': 512, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.05, 0, 0, 0, 0], 'epochs': 100, 'layers': [256, 128, 64, 32, 16], 'learning_rate': 0.0001, 'verbose': 0}
0.43690629254349367 {'batch_size': 256, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.4, 0.3, 0.2, 0, 0], 'epochs': 100, 'layers': [128, 64, 32, 16, 8], 'learning_rate': 0.0001, 'verbose': 0}
0.4254865583028668 {'batch_size': 512, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.05, 0, 0, 0, 0], 'epochs': 100, 'layers': [256, 128, 64, 32, 16], 'learning_rate': 0.0005, 'verbose': 0}
0.42392427916480263 {'batch_size': 256, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.4, 0.3, 0.2, 0, 0], 'epochs': 100, 'layers': [128, 64, 32, 16, 8], 'learning_rate': 0.0005, 'verbose': 0}
0.4194051511445718 {'batch_size': 1024, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.05, 0, 0, 0, 0], 'epochs': 100, 'layers': [256, 128, 64, 32, 16], 'learning_rate': 0.0001, 'verbose': 0}
0.41696359833207625 {'batch_size': 1024, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.025, 0, 0, 0, 0], 'epochs': 100, 'layers': [128, 64, 32, 16, 8], 'learning_rate': 0.0001, 'verbose': 0}
0.4055194528582008 {'batch_size': 256, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.4, 0.3, 0.2, 0, 0], 'epochs': 100, 'layers': [256, 128, 64, 32, 16], 'learning_rate': 0.0001, 'verbose': 0}
0.3956755795029142 {'batch_size': 256, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.025, 0, 0, 0, 0], 'epochs': 100, 'layers': [128, 64, 32, 16, 8], 'learning_rate': 0.0001, 'verbose': 0}
0.38942982173723906 {'batch_size': 256, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.05, 0, 0, 0, 0], 'epochs': 100, 'layers': [256, 128, 64, 32, 16], 'learning_rate': 0.0001, 'verbose': 0}
0.3653023551634096 {'batch_size': 256, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.025, 0, 0, 0, 0], 'epochs': 100, 'layers': [256, 128, 64, 32, 16], 'learning_rate': 0.0001, 'verbose': 0}
0.36241023076992634 {'batch_size': 1024, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.05, 0, 0, 0, 0], 'epochs': 100, 'layers': [128, 64, 32, 16, 8], 'learning_rate': 0.0001, 'verbose': 0}
0.2780110609550565 {'batch_size': 1024, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.4, 0.3, 0.2, 0, 0], 'epochs': 100, 'layers': [128, 64, 32, 16, 8], 'learning_rate': 0.0005, 'verbose': 0}
0.27762862522814635 {'batch_size': 512, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.4, 0.3, 0.2, 0, 0], 'epochs': 100, 'layers': [128, 64, 32, 16, 8], 'learning_rate': 0.0005, 'verbose': 0}
-0.06389050832926105 {'batch_size': 512, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.05, 0, 0, 0, 0], 'epochs': 100, 'layers': [128, 64, 32, 16, 8], 'learning_rate': 0.0001, 'verbose': 0}
-0.08914041590795979 {'batch_size': 512, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.4, 0.3, 0.2, 0, 0], 'epochs': 100, 'layers': [256, 128, 64, 32, 16], 'learning_rate': 0.0001, 'verbose': 0}
-0.12411610485088115 {'batch_size': 1024, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.4, 0.3, 0.2, 0, 0], 'epochs': 100, 'layers': [256, 128, 64, 32, 16], 'learning_rate': 0.0001, 'verbose': 0}
-0.17088963698906395 {'batch_size': 256, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.05, 0, 0, 0, 0], 'epochs': 100, 'layers': [128, 64, 32, 16, 8], 'learning_rate': 0.0001, 'verbose': 0}
-0.991359423035714 {'batch_size': 512, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.4, 0.3, 0.2, 0, 0], 'epochs': 100, 'layers': [128, 64, 32, 16, 8], 'learning_rate': 0.0001, 'verbose': 0}
-0.9960706199824647 {'batch_size': 1024, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.4, 0.3, 0.2, 0, 0], 'epochs': 100, 'layers': [128, 64, 32, 16, 8], 'learning_rate': 0.0001, 'verbose': 0}
